accident_id,date,time,hour,day_of_week,month,year,location_name,latitude,longitude,road_type,weather,road_condition,light_condition,speed_limit_kmph,traffic_volume,vehicles_involved,vehicle_type,collision_type,severity,risk_score,accident_occurred,is_weekend,is_peak_hour,is_night
1017,2023-02-04,12:33,12,Saturday,2,2023,Peddapalli Town Circle,18.607185,79.38062,Urban Road,Clear,Good,Daylight,40,177,1,Bus,Head-On,Minor,12,0,1,0,0
1018,2021-05-01,08:57,8,Saturday,5,2021,Ramagundam Old Town Road,18.758615,79.490058,Urban Road,Clear,Good,Dark – No Street Light,40,119,2,Truck/Lorry,Head-On,Minor,34,1,1,1,0
1019,2023-08-27,08:30,8,Sunday,8,2023,Ramagundam Old Town Road,18.766656,79.482804,Urban Road,Overcast,Good,Daylight,40,232,2,Truck/Lorry,Rear-End,Minor,1,0,1,1,0
1020,2021-07-21,04:46,4,Wednesday,7,2021,Peddapalli Town Circle,18.617656,79.383878,Urban Road,Clear,Under Construction,Daylight,40,125,2,Truck/Lorry,Head-On,Minor,30,1,0,0,1
1021,2023-08-06,08:59,8,Sunday,8,2023,Godavari Bridge NH-163,18.701172,79.512468,Bridge Road,Clear,Under Construction,Dark – Street Light,60,111,1,Tractor,Pedestrian,Minor,20,1,1,1,0
1022,2022-04-30,07:31,7,Saturday,4,2022,Kataram Village Road,18.644063,79.408781,Village Road,Clear,Under Construction,Dawn/Dusk,30,54,2,Two-Wheeler,Pedestrian,Serious,43,1,1,1,0
1023,2023-07-21,09:44,9,Friday,7,2023,Kataram Village Road,18.645018,79.403808,Village Road,Night Drizzle,Gravelled,Dark – No Street Light,30,144,3,Car/Jeep,Head-On,Fatal,86,1,0,1,0
1024,2021-05-05,17:03,17,Wednesday,5,2021,NH-163 Near Peddapalli Toll Plaza,18.616007,79.38979,Highway,Clear,Potholed,Dawn/Dusk,80,248,2,Two-Wheeler,Pedestrian,Serious,47,1,0,1,0
1025,2022-01-16,05:04,5,Sunday,1,2022,Mancherial Road – Peddapalli Border,18.688823,79.431901,State Highway,Rainy,Good,Daylight,60,297,3,Car/Jeep,Side-Swipe,Minor,21,0,1,0,1
1026,2023-12-07,09:16,9,Thursday,12,2023,Ramagundam NTPC Gate Road,18.778435,79.491505,Industrial Road,Clear,Wet,Daylight,40,215,2,Tractor,Side-Swipe,Minor,34,1,0,1,0
1027,2021-05-29,00:39,0,Saturday,5,2021,Jammikunta–Peddapalli Road,18.551262,79.309302,State Highway,Night Drizzle,Gravelled,Daylight,60,307,2,Auto-Rickshaw,Head-On,Fatal,71,1,1,0,1
1028,2021-05-21,19:23,19,Friday,5,2021,Kataram Village Road,18.647389,79.399409,Village Road,Clear,Potholed,Dark – No Street Light,30,178,2,Tractor,Rear-End,Serious,52,1,0,1,0
1029,2021-08-01,21:08,21,Sunday,8,2021,Godavari Bridge NH-163,18.699591,79.522577,Bridge Road,Clear,Under Construction,Dark – Street Light,60,85,2,Auto-Rickshaw,Side-Swipe,Minor,20,0,1,0,1
1030,2022-06-25,13:16,13,Saturday,6,2022,Peddapalli Town Circle,18.613351,79.381566,Urban Road,Overcast,Under Construction,Daylight,40,176,2,Auto-Rickshaw,Head-On,Minor,35,1,1,0,0
1031,2021-09-25,15:16,15,Saturday,9,2021,Srirampur Road Stretch,18.724843,79.53149,District Road,Clear,Potholed,Dark – Street Light,50,157,2,Two-Wheeler,Head-On,Minor,29,0,1,0,0
1032,2023-01-27,14:09,14,Friday,1,2023,Mancherial Road – Peddapalli Border,18.679039,79.437682,State Highway,Clear,Good,Daylight,60,273,4,Two-Wheeler,Hit-and-Run,Minor,6,0,0,0,0
1033,2021-07-30,10:35,10,Friday,7,2021,Peddapalli Town Circle,18.617305,79.379026,Urban Road,Overcast,Potholed,Dark – No Street Light,40,173,2,Car/Jeep,Hit-and-Run,Minor,30,1,0,0,0
1034,2023-04-25,02:47,2,Tuesday,4,2023,Kataram Village Road,18.632923,79.399897,Village Road,Night Drizzle,Wet,Daylight,30,131,3,Tractor,Rollover,Fatal,78,1,0,0,1
1035,2021-08-10,10:02,10,Tuesday,8,2021,Manthani Bridge Approach,18.648989,79.659294,District Road,Overcast,Good,Dark – Street Light,50,122,2,Auto-Rickshaw,Rollover,Minor,12,0,0,0,0
1036,2022-01-31,11:17,11,Monday,1,2022,Peddapalli Town Circle,18.625431,79.379873,Urban Road,Overcast,Gravelled,Daylight,40,182,2,Truck/Lorry,Side-Swipe,Minor,27,0,0,0,0
1037,2021-08-25,19:16,19,Wednesday,8,2021,NH-163 Near Peddapalli Toll Plaza,18.613828,79.372506,Highway,Clear,Gravelled,Daylight,80,320,2,Truck/Lorry,Rear-End,Serious,40,1,0,1,0
1038,2023-11-14,06:57,6,Tuesday,11,2023,Ramagundam NTPC Gate Road,18.778301,79.505316,Industrial Road,Rainy,Good,Dark – Street Light,40,147,1,Bus,Side-Swipe,Minor,16,0,0,0,0
1039,2022-11-08,15:42,15,Tuesday,11,2022,Ramagundam Bypass Junction,18.756308,79.500026,Bypass,Overcast,Wet,Daylight,70,284,2,Truck/Lorry,Rear-End,Minor,29,0,0,0,0
1040,2023-05-12,16:24,16,Friday,5,2023,Sulthanabad Cross Roads,18.597714,79.42476,Highway,Rainy,Under Construction,Dark – No Street Light,80,206,2,Bus,Hit-and-Run,Serious,64,1,0,0,0
1041,2022-03-07,11:37,11,Monday,3,2022,Godavari Bridge NH-163,18.697553,79.525014,Bridge Road,Rainy,Good,Daylight,60,213,3,Bus,Rear-End,Minor,25,0,0,0,0
1042,2023-11-22,16:39,16,Wednesday,11,2023,Godavari Bridge NH-163,18.705034,79.528952,Bridge Road,Clear,Under Construction,Dark – Street Light,60,37,3,Car/Jeep,Rollover,Minor,39,1,0,0,0
1043,2021-04-05,08:30,8,Monday,4,2021,NH-163 Near Peddapalli Toll Plaza,18.611369,79.382598,Highway,Rainy,Wet,Dark – No Street Light,80,220,3,Bus,Head-On,Fatal,100,1,0,1,0
1044,2023-03-30,08:41,8,Thursday,3,2023,Dharmaram Crossroad,18.667247,79.365343,Village Road,Rainy,Under Construction,Dark – Street Light,30,109,3,Truck/Lorry,Head-On,Fatal,81,1,0,1,0
1045,2021-04-13,14:58,14,Tuesday,4,2021,Dharmaram Crossroad,18.677368,79.360403,Village Road,Overcast,Potholed,Dark – Street Light,30,65,3,Bus,Side-Swipe,Minor,34,1,0,0,0
1046,2023-10-31,11:58,11,Tuesday,10,2023,Korutla Junction Near Peddapalli,18.524084,79.32439,State Highway,Rainy,Under Construction,Dark – Street Light,60,423,2,Auto-Rickshaw,Rollover,Serious,65,1,0,0,0
1047,2023-12-04,12:15,12,Monday,12,2023,Godavari Bridge NH-163,18.695946,79.519137,Bridge Road,Clear,Good,Daylight,60,215,2,Auto-Rickshaw,Hit-and-Run,Minor,0,0,0,0,0
1048,2023-02-24,16:45,16,Friday,2,2023,Sulthanabad Cross Roads,18.583963,79.421923,Highway,Clear,Potholed,Daylight,80,404,2,Two-Wheeler,Head-On,Serious,48,1,0,0,0
1049,2021-02-10,19:48,19,Wednesday,2,2021,Ramagundam NTPC Gate Road,18.781909,79.486815,Industrial Road,Rainy,Potholed,Dawn/Dusk,40,170,2,Truck/Lorry,Hit-and-Run,Serious,68,1,0,1,0
1050,2022-03-28,12:17,12,Monday,3,2022,Karimnagar Highway Fork Peddapalli,18.60311,79.355485,Highway,Clear,Good,Daylight,80,194,3,Truck/Lorry,Side-Swipe,Minor,24,1,0,0,0
1051,2023-12-30,02:25,2,Saturday,12,2023,Korutla Junction Near Peddapalli,18.529732,79.3226,State Highway,Rainy,Wet,Daylight,60,320,2,Truck/Lorry,Head-On,Serious,68,1,1,0,1
1052,2022-11-02,07:20,7,Wednesday,11,2022,Ramagundam NTPC Gate Road,18.779465,79.489428,Industrial Road,Clear,Under Construction,Daylight,40,168,4,Truck/Lorry,Rear-End,Minor,32,1,0,1,0
1053,2021-02-09,17:03,17,Tuesday,2,2021,Dharmaram Crossroad,18.677369,79.359043,Village Road,Night Drizzle,Good,Dark – No Street Light,30,299,3,Tractor,Head-On,Serious,60,1,0,1,0
1054,2022-02-13,18:39,18,Sunday,2,2022,Sulthanabad Cross Roads,18.587127,79.424935,Highway,Clear,Good,Dark – No Street Light,80,352,2,Car/Jeep,Rear-End,Minor,33,1,1,1,0
1055,2023-01-26,07:38,7,Thursday,1,2023,Srirampur Road Stretch,18.715897,79.539817,District Road,Night Drizzle,Wet,Dark – Street Light,50,242,2,Auto-Rickshaw,Head-On,Serious,55,1,0,1,0
1056,2022-10-01,14:58,14,Saturday,10,2022,Kataram Village Road,18.64411,79.411484,Village Road,Night Drizzle,Good,Dark – Street Light,30,183,1,Tractor,Hit-and-Run,Minor,17,0,1,0,0
1057,2022-09-10,19:38,19,Saturday,9,2022,Srirampur Road Stretch,18.716231,79.530552,District Road,Overcast,Wet,Dark – No Street Light,50,130,1,Bus,Rear-End,Serious,46,1,1,1,0
1058,2023-11-03,16:00,16,Friday,11,2023,Ramagundam Bypass Junction,18.754414,79.501906,Bypass,Overcast,Under Construction,Daylight,70,234,4,Tractor,Hit-and-Run,Serious,44,1,0,0,0
1059,2021-11-10,11:46,11,Wednesday,11,2021,Ramagundam Old Town Road,18.766136,79.487065,Urban Road,Rainy,Wet,Dark – No Street Light,40,172,4,Truck/Lorry,Rear-End,Fatal,73,1,0,0,0
1060,2022-10-23,19:53,19,Sunday,10,2022,Godavari Bridge NH-163,18.700777,79.531601,Bridge Road,Night Drizzle,Good,Dark – No Street Light,60,266,3,Bus,Side-Swipe,Serious,57,1,1,1,0
1061,2021-02-28,13:20,13,Sunday,2,2021,Jammikunta–Peddapalli Road,18.556914,79.305046,State Highway,Clear,Good,Dark – Street Light,60,350,2,Bus,Side-Swipe,Minor,0,0,1,0,0
1062,2022-01-27,05:46,5,Thursday,1,2022,Karimnagar Highway Fork Peddapalli,18.599383,79.35757,Highway,Clear,Potholed,Daylight,80,338,2,Tractor,Rear-End,Minor,20,0,0,0,1
1063,2023-04-09,16:19,16,Sunday,4,2023,Sulthanabad Cross Roads,18.591636,79.416766,Highway,Rainy,Good,Dark – No Street Light,80,337,2,Tractor,Side-Swipe,Serious,46,1,1,0,0
1064,2023-07-19,08:16,8,Wednesday,7,2023,Ramagundam Old Town Road,18.759767,79.491282,Urban Road,Clear,Wet,Daylight,40,28,3,Tractor,Head-On,Serious,51,1,0,1,0
1065,2023-09-19,08:37,8,Tuesday,9,2023,Ramagundam Old Town Road,18.755771,79.487866,Urban Road,Night Drizzle,Potholed,Daylight,40,167,2,Car/Jeep,Rear-End,Serious,51,1,0,1,0
1066,2022-09-12,01:34,1,Monday,9,2022,Manthani Bridge Approach,18.648581,79.660869,District Road,Clear,Good,Daylight,50,180,2,Car/Jeep,Side-Swipe,Minor,20,0,0,0,1
1067,2022-08-06,12:28,12,Saturday,8,2022,NH-163 Near Peddapalli Toll Plaza,18.608485,79.383889,Highway,Clear,Gravelled,Daylight,80,304,3,Two-Wheeler,Rollover,Serious,57,1,1,0,0
1068,2021-06-01,14:43,14,Tuesday,6,2021,Dharmaram Crossroad,18.680415,79.370269,Village Road,Clear,Good,Dark – No Street Light,30,194,2,Car/Jeep,Head-On,Minor,33,1,0,0,0
1069,2022-04-08,17:24,17,Friday,4,2022,Korutla Junction Near Peddapalli,18.523311,79.328575,State Highway,Clear,Potholed,Dark – Street Light,60,189,4,Auto-Rickshaw,Side-Swipe,Minor,31,1,0,1,0
1070,2021-07-23,21:13,21,Friday,7,2021,Korutla Junction Near Peddapalli,18.530575,79.345264,State Highway,Rainy,Good,Daylight,60,341,2,Bus,Head-On,Minor,25,0,0,0,1
1071,2023-08-21,09:14,9,Monday,8,2023,Ramagundam Old Town Road,18.767678,79.49177,Urban Road,Clear,Good,Dark – Street Light,40,195,1,Car/Jeep,Hit-and-Run,Minor,20,0,0,1,0
1072,2022-02-10,11:34,11,Thursday,2,2022,Srirampur Road Stretch,18.718424,79.538795,District Road,Clear,Good,Daylight,50,202,2,Two-Wheeler,Head-On,Minor,14,0,0,0,0
1073,2022-08-15,12:29,12,Monday,8,2022,Mancherial Road – Peddapalli Border,18.679816,79.442573,State Highway,Rainy,Wet,Dawn/Dusk,60,238,2,Truck/Lorry,Rear-End,Serious,64,1,0,0,0
1074,2023-06-04,17:38,17,Sunday,6,2023,NH-163 Near Peddapalli Toll Plaza,18.625773,79.372764,Highway,Clear,Good,Dawn/Dusk,80,306,3,Bus,Side-Swipe,Minor,35,1,1,1,0
1075,2022-07-06,14:48,14,Wednesday,7,2022,Srirampur Road Stretch,18.711936,79.53264,District Road,Foggy,Potholed,Dark – No Street Light,50,204,4,Car/Jeep,Pedestrian,Serious,68,1,0,0,0
1076,2023-10-05,22:30,22,Thursday,10,2023,Peddapalli Town Circle,18.616321,79.373611,Urban Road,Clear,Good,Dark – No Street Light,40,237,3,Auto-Rickshaw,Rear-End,Serious,45,1,0,0,1
1077,2023-04-01,18:35,18,Saturday,4,2023,Godavari Bridge NH-163,18.705498,79.514348,Bridge Road,Clear,Good,Daylight,60,92,2,Truck/Lorry,Hit-and-Run,Minor,0,0,1,1,0
1078,2023-08-05,11:12,11,Saturday,8,2023,Karimnagar Highway Fork Peddapalli,18.600728,79.350742,Highway,Rainy,Potholed,Dark – No Street Light,80,317,2,Two-Wheeler,Head-On,Fatal,87,1,1,0,0
1079,2022-08-13,12:44,12,Saturday,8,2022,Manthani Bridge Approach,18.65617,79.649974,District Road,Clear,Good,Dark – No Street Light,50,321,3,Tractor,Head-On,Serious,47,1,1,0,0
1080,2023-04-16,05:53,5,Sunday,4,2023,NH-163 Near Peddapalli Toll Plaza,18.610891,79.386362,Highway,Overcast,Potholed,Daylight,80,314,3,Truck/Lorry,Pedestrian,Minor,39,1,1,0,1
1081,2022-07-14,11:30,11,Thursday,7,2022,Karimnagar Highway Fork Peddapalli,18.599926,79.356525,Highway,Night Drizzle,Good,Dark – No Street Light,80,236,2,Bus,Rear-End,Minor,39,1,0,0,0
1082,2021-05-23,08:50,8,Sunday,5,2021,Mancherial Road – Peddapalli Border,18.674999,79.443327,State Highway,Overcast,Good,Dark – Street Light,60,369,2,Two-Wheeler,Rear-End,Minor,9,1,1,1,0
1083,2023-09-30,19:28,19,Saturday,9,2023,Korutla Junction Near Peddapalli,18.524733,79.334827,State Highway,Rainy,Good,Dark – No Street Light,60,262,2,Truck/Lorry,Pedestrian,Serious,41,1,1,1,0
1084,2022-05-05,14:14,14,Thursday,5,2022,Ramagundam Old Town Road,18.755696,79.491589,Urban Road,Overcast,Potholed,Daylight,40,182,2,Truck/Lorry,Rear-End,Minor,30,1,0,0,0
1085,2023-10-12,21:08,21,Thursday,10,2023,Manthani Bridge Approach,18.658162,79.652503,District Road,Rainy,Potholed,Dark – Street Light,50,319,3,Truck/Lorry,Head-On,Serious,69,1,0,0,1
1086,2021-10-23,11:41,11,Saturday,10,2021,NH-163 Near Peddapalli Toll Plaza,18.620535,79.378562,Highway,Night Drizzle,Good,Dark – Street Light,80,261,2,Bus,Side-Swipe,Serious,40,1,1,0,0
1087,2022-11-04,19:54,19,Friday,11,2022,Ramagundam Bypass Junction,18.758673,79.495565,Bypass,Rainy,Gravelled,Dark – No Street Light,70,335,3,Truck/Lorry,Hit-and-Run,Fatal,76,1,0,1,0
1088,2021-05-21,08:43,8,Friday,5,2021,Korutla Junction Near Peddapalli,18.511794,79.320878,State Highway,Night Drizzle,Gravelled,Dark – Street Light,60,295,2,Two-Wheeler,Rollover,Serious,58,1,0,1,0
1089,2021-12-07,16:57,16,Tuesday,12,2021,Dharmaram Crossroad,18.668761,79.373162,Village Road,Clear,Good,Daylight,30,129,2,Truck/Lorry,Head-On,Minor,21,0,0,0,0
1090,2022-01-04,07:05,7,Tuesday,1,2022,Peddapalli Town Circle,18.6138,79.379654,Urban Road,Rainy,Good,Dark – No Street Light,40,35,2,Bus,Head-On,Serious,64,1,0,1,0
1091,2022-06-05,12:42,12,Sunday,6,2022,Peddapalli Town Circle,18.608821,79.384816,Urban Road,Clear,Under Construction,Dawn/Dusk,40,265,3,Car/Jeep,Head-On,Serious,61,1,1,0,0
1092,2022-09-05,15:27,15,Monday,9,2022,Korutla Junction Near Peddapalli,18.523092,79.328311,State Highway,Rainy,Potholed,Daylight,60,300,4,Truck/Lorry,Head-On,Serious,67,1,0,0,0
1093,2023-01-06,14:44,14,Friday,1,2023,Korutla Junction Near Peddapalli,18.524999,79.326349,State Highway,Clear,Gravelled,Dark – No Street Light,60,315,2,Bus,Hit-and-Run,Minor,26,1,0,0,0
1094,2023-10-15,18:57,18,Sunday,10,2023,Ramagundam Old Town Road,18.762568,79.490311,Urban Road,Clear,Wet,Dark – No Street Light,40,119,2,Tractor,Head-On,Serious,58,1,1,1,0
1095,2021-10-08,15:57,15,Friday,10,2021,Peddapalli Town Circle,18.609811,79.389665,Urban Road,Rainy,Good,Dark – Street Light,40,276,1,Auto-Rickshaw,Side-Swipe,Minor,12,1,0,0,0
1096,2023-05-01,07:08,7,Monday,5,2023,Jammikunta–Peddapalli Road,18.560441,79.313342,State Highway,Foggy,Under Construction,Daylight,60,143,2,Auto-Rickshaw,Hit-and-Run,Serious,48,1,0,1,0
1097,2023-09-14,21:18,21,Thursday,9,2023,Kataram Village Road,18.636887,79.400959,Village Road,Foggy,Good,Daylight,30,172,4,Car/Jeep,Rollover,Serious,42,1,0,0,1
1098,2023-03-25,21:51,21,Saturday,3,2023,Mancherial Road – Peddapalli Border,18.678053,79.449248,State Highway,Rainy,Good,Daylight,60,260,2,Two-Wheeler,Rear-End,Minor,18,0,1,0,1
1099,2023-01-31,06:14,6,Tuesday,1,2023,Mancherial Road – Peddapalli Border,18.677535,79.449498,State Highway,Clear,Potholed,Dawn/Dusk,60,328,2,Bus,Head-On,Serious,42,1,0,0,0
1100,2023-08-09,20:19,20,Wednesday,8,2023,Peddapalli Town Circle,18.620064,79.382148,Urban Road,Rainy,Good,Daylight,40,174,1,Truck/Lorry,Head-On,Minor,32,1,0,0,1
1101,2021-10-05,11:23,11,Tuesday,10,2021,Kataram Village Road,18.637199,79.405736,Village Road,Rainy,Wet,Dawn/Dusk,30,83,2,Tractor,Side-Swipe,Serious,58,1,0,0,0
1102,2021-07-22,18:39,18,Thursday,7,2021,Peddapalli Town Circle,18.615895,79.379587,Urban Road,Clear,Gravelled,Daylight,40,198,2,Truck/Lorry,Rear-End,Minor,27,1,0,1,0
1103,2023-01-23,14:41,14,Monday,1,2023,Ramagundam Bypass Junction,18.751842,79.502935,Bypass,Clear,Good,Daylight,70,402,2,Truck/Lorry,Head-On,Minor,21,0,0,0,0
1104,2021-02-13,04:21,4,Saturday,2,2021,Korutla Junction Near Peddapalli,18.526912,79.331494,State Highway,Clear,Good,Dark – No Street Light,60,283,1,Bus,Head-On,Minor,26,1,1,0,1
1105,2022-11-04,17:50,17,Friday,11,2022,Sulthanabad Cross Roads,18.596068,79.427527,Highway,Overcast,Good,Dark – Street Light,80,366,2,Car/Jeep,Rear-End,Minor,15,0,0,1,0
1106,2021-02-22,06:22,6,Monday,2,2021,Mancherial Road – Peddapalli Border,18.68441,79.443449,State Highway,Foggy,Good,Daylight,60,301,2,Two-Wheeler,Head-On,Minor,38,1,0,0,0
1107,2021-08-21,17:30,17,Saturday,8,2021,Karimnagar Highway Fork Peddapalli,18.599849,79.354485,Highway,Clear,Good,Dark – No Street Light,80,325,2,Car/Jeep,Pedestrian,Minor,26,1,1,1,0
1108,2023-12-04,09:41,9,Monday,12,2023,Kataram Village Road,18.635909,79.412462,Village Road,Night Drizzle,Good,Dark – No Street Light,30,197,2,Tractor,Head-On,Serious,64,1,0,1,0
1109,2021-06-15,09:09,9,Tuesday,6,2021,Ramagundam Bypass Junction,18.748729,79.505991,Bypass,Clear,Good,Dark – No Street Light,70,219,2,Auto-Rickshaw,Rear-End,Serious,44,1,0,1,0
1110,2022-08-27,12:38,12,Saturday,8,2022,Karimnagar Highway Fork Peddapalli,18.603621,79.357142,Highway,Clear,Wet,Daylight,80,363,3,Bus,Side-Swipe,Minor,36,1,1,0,0
1111,2023-07-14,19:26,19,Friday,7,2023,Ramagundam NTPC Gate Road,18.773514,79.493379,Industrial Road,Clear,Potholed,Daylight,40,149,1,Truck/Lorry,Rear-End,Minor,28,0,0,1,0
1112,2023-08-30,05:53,5,Wednesday,8,2023,Manthani Bridge Approach,18.657876,79.659365,District Road,Clear,Potholed,Dark – Street Light,50,95,2,Car/Jeep,Side-Swipe,Minor,28,1,0,0,1
1113,2022-11-07,16:26,16,Monday,11,2022,Karimnagar Highway Fork Peddapalli,18.598893,79.356065,Highway,Clear,Wet,Dark – Street Light,80,233,3,Tractor,Head-On,Serious,54,1,0,0,0
1114,2022-10-02,10:36,10,Sunday,10,2022,Korutla Junction Near Peddapalli,18.523889,79.327218,State Highway,Rainy,Good,Dark – No Street Light,60,254,3,Auto-Rickshaw,Hit-and-Run,Serious,46,1,1,0,0
1115,2022-07-25,14:51,14,Monday,7,2022,Ramagundam Bypass Junction,18.752265,79.497845,Bypass,Clear,Potholed,Dark – Street Light,70,319,2,Tractor,Side-Swipe,Minor,20,0,0,0,0
1116,2022-07-02,02:17,2,Saturday,7,2022,Peddapalli Town Circle,18.60876,79.371963,Urban Road,Foggy,Good,Daylight,40,168,1,Car/Jeep,Side-Swipe,Minor,37,1,1,0,1
1117,2021-10-18,17:01,17,Monday,10,2021,Ramagundam Bypass Junction,18.753733,79.501755,Bypass,Clear,Potholed,Daylight,70,242,2,Car/Jeep,Rear-End,Serious,40,1,0,1,0
1118,2021-06-23,19:09,19,Wednesday,6,2021,Srirampur Road Stretch,18.724288,79.5342,District Road,Clear,Potholed,Dark – No Street Light,50,268,2,Tractor,Rear-End,Serious,54,1,0,1,0
1119,2023-04-29,08:48,8,Saturday,4,2023,Dharmaram Crossroad,18.669987,79.364907,Village Road,Rainy,Good,Daylight,30,148,3,Bus,Rear-End,Minor,39,1,1,1,0
1120,2022-03-28,11:38,11,Monday,3,2022,NH-163 Near Peddapalli Toll Plaza,18.615814,79.377964,Highway,Clear,Good,Dawn/Dusk,80,276,3,Auto-Rickshaw,Rear-End,Minor,28,0,0,0,0
1121,2023-06-01,07:24,7,Thursday,6,2023,Ramagundam Old Town Road,18.769664,79.486456,Urban Road,Rainy,Good,Dark – No Street Light,40,191,3,Auto-Rickshaw,Head-On,Serious,61,1,0,1,0
1122,2021-02-08,12:04,12,Monday,2,2021,Ramagundam NTPC Gate Road,18.781451,79.490994,Industrial Road,Overcast,Potholed,Dark – No Street Light,40,182,3,Truck/Lorry,Rear-End,Serious,47,1,0,0,0
1123,2022-10-28,07:39,7,Friday,10,2022,NH-163 Near Peddapalli Toll Plaza,18.614263,79.382588,Highway,Clear,Wet,Daylight,80,317,2,Two-Wheeler,Head-On,Serious,63,1,0,1,0
1124,2023-12-10,05:55,5,Sunday,12,2023,Ramagundam NTPC Gate Road,18.778123,79.49549,Industrial Road,Clear,Good,Daylight,40,88,2,Bus,Side-Swipe,Minor,6,0,1,0,1
1125,2022-12-17,10:52,10,Saturday,12,2022,Kataram Village Road,18.644796,79.412766,Village Road,Rainy,Good,Daylight,30,266,2,Car/Jeep,Side-Swipe,Minor,30,1,1,0,0
1126,2021-12-29,21:40,21,Wednesday,12,2021,Ramagundam Bypass Junction,18.759162,79.501117,Bypass,Clear,Wet,Dark – Street Light,70,238,2,Bus,Side-Swipe,Minor,39,1,0,0,1
1127,2022-10-10,07:04,7,Monday,10,2022,Jammikunta–Peddapalli Road,18.557159,79.306201,State Highway,Clear,Potholed,Dark – Street Light,60,475,2,Auto-Rickshaw,Rear-End,Minor,29,0,0,1,0
1128,2021-04-27,10:18,10,Tuesday,4,2021,NH-163 Near Peddapalli Toll Plaza,18.603581,79.379471,Highway,Clear,Under Construction,Dark – Street Light,80,252,2,Bus,Rear-End,Minor,38,1,0,0,0
1129,2021-03-26,12:51,12,Friday,3,2021,Karimnagar Highway Fork Peddapalli,18.601252,79.355709,Highway,Rainy,Good,Dark – No Street Light,80,239,2,Two-Wheeler,Rear-End,Serious,45,1,0,0,0
